State;Code;Population;PEVRegistrations;TotalChargingUnits;FastChargingUnits;RevisedAnnualPersonalIncomePerCapita;MedianHouseholdIncome;MedianOverMiddleIncome;PercentOfHighSchoolDegree;PercentOfBachelorDegree;PercentOfAdvancedDegree;AverageRetailPriceOfElectricity;ResidentialEnergyConsumedPerCapita;RegularGasolinePrice;IncomeTaxCredit;SalesTax;PurchaseRebate;ForInstallations;HOVExemption;ParkingExemption;EmissionInspection;HomeEVSE;TotalPublicActionForEV
RHODE ISLAND;RI;1056426;0,771;0,183;0,018;50427;58387;1,16;0,885;0,341;0,135;17,01;192;2,534;7500;0;2500;0;0;0;100;1000;11100
SOUTH CAROLINA;SC;4961119;0,430;0,090;0,014;39517;46898;1,19;0,866;0,272;0,098;9,58;337;2,229;7500;120;0;0;0;0;0;0;7620
SOUTH DAKOTA;SD;865454;0,361;0,046;0,016;47834;52078;1,09;0,912;0,289;0,092;9,47;447;2,397;7500;0;0;0;0;0;0;0;7500
TENNESSEE;TN;6651194;0,689;0,152;0,020;43326;46574;1,07;0,870;0,261;0,094;9,3;329;2,262;7500;0;0;0;1100;0;0;0;8600
TEXAS;TX;27862596;0,687;0,091;0,010;46274;54727;1,18;0,829;0,289;0,100;8,7;470;2,229;7500;0;3500;1500;0;0;0;200;11200
UTAH;UT;3051217;1,315;0,123;0,030;40925;62518;1,53;0,917;0,326;0,112;8,54;264;2,381;9000;0;0;0;200;60;0;0;9260
VERMONT;VT;624594;2,384;0,580;0,087;49984;56104;1,12;0,921;0,364;0,152;14,41;211;2,527;7500;250;1200;0;0;0;0;0;8950
VIRGINIA;VA;8411808;0,891;0,106;0,019;52957;66149;1,25;0,893;0,381;0,164;9,31;283;2,288;7500;0;0;0;1300;0;0;0;8800
WASHINGTON;WA;7288000;3,036;0,255;0,023;54579;62848;1,15;0,908;0,351;0,132;7,4;278;2,890;7500;1900;0;0;0;0;0;100;9500
WEST VIRGINIA;WV;1831102;0,229;0,099;0,016;36624;42644;1,16;0,860;0,208;0,082;8,11;421;2,526;7500;0;0;0;0;0;0;0;7500
WISCONSIN;WI;5778708;0,841;0,064;0,011;46762;54610;1,17;0,919;0,295;0,102;10,73;308;2,452;7500;0;0;500;0;0;0;0;7500
WYOMING;WY;585501;0,291;0,114;0,041;55115;59143;1,07;0,932;0,271;0,097;7,97;893;2,413;7500;0;0;0;0;0;0;5000;12500
UNITED STATES;USA;323127513;55,821;7,003;1,054;49246;55331;1,12;0,875;0,313;0,119;10,41;;;7500;;;;;;;;
